im_loss,mse
1.8986438266236256,0.9624964594841003
1.5376506093045297,0.9523327946662903
1.5104678921912513,0.933127224445343
1.4557368969146274,0.9212661981582642
1.2103891923887116,0.9126919507980347
1.1713983152810186,0.9095357656478882
1.0630563714554269,0.9074234962463379
1.049127219556988,0.9104480743408203
0.9958393466029052,0.9135761857032776
1.0278492198275262,0.9183175563812256
0.8786249825051978,0.919302761554718
0.8750172784645152,0.9281324148178101
0.822803003530489,0.9304934740066528
0.9274688740946122,0.9346148371696472
0.79286904964347,0.9339613318443298
0.8180546643537618,0.9338448643684387
